30/11/16 : [176.62714285714284, 164.42857142857142]
01/12/16 : [149.13555555555556, 137.22222222222223]
02/12/16 : [170.4542857142857, 162.0]
03/12/16 : [147.19428571428574, 147.28571428571428]
04/12/16 : [176.4257142857143, 164.85714285714286]
05/12/16 : [198.90545454545455, 187.54545454545453]
06/12/16 : [198.62000000000003, 179.71428571428572]
07/12/16 : [178.57, 171.42857142857142]
08/12/16 : [178.81285714285715, 166.71428571428572]
09/12/16 : [184.1685714285714, 172.28571428571428]
10/12/16 : [205.1, 187.14285714285714]
11/12/16 : [187.9842857142857, 180.0]
12/12/16 : [197.21, 179.42857142857142]
13/12/16 : [217.7927272727273, 197.1818181818182]
14/12/16 : [227.01857142857145, 208.0]
15/12/16 : [216.80285714285714, 196.71428571428572]
16/12/16 : [223.63857142857142, 197.14285714285714]
17/12/16 : [230.74285714285716, 205.28571428571428]
18/12/16 : [216.77142857142857, 201.42857142857142]
19/12/16 : [234.38285714285715, 208.42857142857142]
20/12/16 : [220.33818181818185, 203.27272727272728]
21/12/16 : [228.1885714285714, 206.85714285714286]
22/12/16 : [296.34857142857146, 263.7142857142857]
23/12/16 : [329.40999999999997, 293.57142857142856]
24/12/16 : [313.485, 289.1666666666667]
25/12/16 : [282.92, 263.1666666666667]
26/12/16 : [264.54285714285714, 257.14285714285717]
27/12/16 : [233.42714285714283, 211.14285714285714]
28/12/16 : [249.89000000000001, 206.5]
29/12/16 : [223.77571428571426, 205.14285714285714]
30/12/16 : [253.22714285714287, 228.57142857142858]
31/12/16 : [302.52833333333336, 260.3333333333333]
